feature_set,model,test_file,val_file,policy,feature_count,test_windows,test_positive_windows,threshold,precision,recall,f1,fpr,auroc,pr_auc,tn,fp,fn,tp
drop_mgmt_fingerprint,xgb_per_bssid,RogueAP_32.csv,RogueAP_39.csv,best_f1,121,1003,64,0.8006705284118653,0.3924050632911392,0.484375,0.43356643356643354,0.051118210862619806,0.8922723642172523,0.3881631289223681,891,48,33,31
drop_mgmt_fingerprint,xgb_per_bssid,RogueAP_32.csv,RogueAP_39.csv,fpr_le_0.20,121,1003,64,0.693975031375885,0.2569832402234637,0.71875,0.3786008230452675,0.14164004259850904,0.8922723642172523,0.3881631289223681,806,133,18,46
drop_mgmt_fingerprint,rf_per_bssid,RogueAP_32.csv,RogueAP_39.csv,best_f1,121,1003,64,0.7123685907557988,0.29310344827586204,0.265625,0.2786885245901639,0.043663471778487756,0.8840854632587859,0.32545851870590087,898,41,47,17
drop_mgmt_fingerprint,rf_per_bssid,RogueAP_32.csv,RogueAP_39.csv,fpr_le_0.20,121,1003,64,0.5620814442692716,0.22169811320754718,0.734375,0.34057971014492755,0.1757188498402556,0.8840854632587859,0.32545851870590087,774,165,17,47
drop_mgmt_fingerprint,xgb_per_bssid,RogueAP_33.csv,RogueAP_39.csv,best_f1,121,1002,67,0.7885434031486511,0.43089430894308944,0.7910447761194029,0.5578947368421052,0.0748663101604278,0.9646260675233458,0.6872474273232183,865,70,14,53
drop_mgmt_fingerprint,xgb_per_bssid,RogueAP_33.csv,RogueAP_39.csv,fpr_le_0.20,121,1002,67,0.6306008100509644,0.3772455089820359,0.9402985074626866,0.5384615384615384,0.11122994652406418,0.9646260675233458,0.6872474273232183,831,104,4,63
drop_mgmt_fingerprint,rf_per_bssid,RogueAP_33.csv,RogueAP_39.csv,best_f1,121,1002,67,0.6482842277282642,0.4108527131782946,0.7910447761194029,0.5408163265306123,0.08128342245989305,0.9491579535477692,0.5822908040548531,859,76,14,53
drop_mgmt_fingerprint,rf_per_bssid,RogueAP_33.csv,RogueAP_39.csv,fpr_le_0.20,121,1002,67,0.5167861083961649,0.32967032967032966,0.8955223880597015,0.4819277108433735,0.1304812834224599,0.9491579535477692,0.5822908040548531,813,122,7,60
drop_mgmt_fingerprint,xgb_per_bssid,RogueAP_34.csv,RogueAP_39.csv,best_f1,121,1003,91,0.8037451028823853,0.4823529411764706,0.9010989010989011,0.6283524904214559,0.09649122807017543,0.9532123578176209,0.626862045129275,824,88,9,82
drop_mgmt_fingerprint,xgb_per_bssid,RogueAP_34.csv,RogueAP_39.csv,fpr_le_0.20,121,1003,91,0.631935179233551,0.37339055793991416,0.9560439560439561,0.5370370370370371,0.1600877192982456,0.9532123578176209,0.626862045129275,766,146,4,87
drop_mgmt_fingerprint,rf_per_bssid,RogueAP_34.csv,RogueAP_39.csv,best_f1,121,1003,91,0.6284467334787832,0.43157894736842106,0.9010989010989011,0.5836298932384342,0.11842105263157894,0.9329814921920185,0.46993359128858736,804,108,9,82
drop_mgmt_fingerprint,rf_per_bssid,RogueAP_34.csv,RogueAP_39.csv,fpr_le_0.20,121,1003,91,0.5906634365870357,0.40384615384615385,0.9230769230769231,0.5618729096989966,0.13596491228070176,0.9329814921920185,0.46993359128858736,788,124,7,84
drop_mgmt_fingerprint,xgb_per_bssid,RogueAP_35.csv,RogueAP_39.csv,best_f1,121,1003,130,0.8256093502044679,0.4351464435146444,0.8,0.5636856368563685,0.15463917525773196,0.9083091021235352,0.5664992693255042,738,135,26,104
drop_mgmt_fingerprint,xgb_per_bssid,RogueAP_35.csv,RogueAP_39.csv,fpr_le_0.20,121,1003,130,0.6261699795722961,0.3465909090909091,0.9384615384615385,0.5062240663900415,0.2634593356242841,0.9083091021235352,0.5664992693255042,643,230,8,122
drop_mgmt_fingerprint,rf_per_bssid,RogueAP_35.csv,RogueAP_39.csv,best_f1,121,1003,130,0.6462429828248673,0.3706293706293706,0.8153846153846154,0.5096153846153846,0.20618556701030927,0.8735483302493612,0.4211698642565128,693,180,24,106
drop_mgmt_fingerprint,rf_per_bssid,RogueAP_35.csv,RogueAP_39.csv,fpr_le_0.20,121,1003,130,0.5390986067360872,0.3313782991202346,0.8692307692307693,0.47983014861995754,0.2611683848797251,0.8735483302493612,0.4211698642565128,645,228,17,113
drop_mgmt_fingerprint,xgb_per_bssid,RogueAP_36.csv,RogueAP_39.csv,best_f1,121,1003,67,0.7905296540260315,0.3984375,0.7611940298507462,0.5230769230769231,0.08226495726495726,0.9432803929072586,0.4636500224914599,859,77,16,51
drop_mgmt_fingerprint,xgb_per_bssid,RogueAP_36.csv,RogueAP_39.csv,fpr_le_0.20,121,1003,67,0.6336799263954163,0.2782608695652174,0.9552238805970149,0.43097643097643096,0.17735042735042736,0.9432803929072586,0.4636500224914599,770,166,3,64
drop_mgmt_fingerprint,rf_per_bssid,RogueAP_36.csv,RogueAP_39.csv,best_f1,121,1003,67,0.6383099773473234,0.3352601156069364,0.8656716417910447,0.48333333333333334,0.12286324786324786,0.929519071310116,0.3982864750608242,821,115,9,58
drop_mgmt_fingerprint,rf_per_bssid,RogueAP_36.csv,RogueAP_39.csv,fpr_le_0.20,121,1003,67,0.5232337272888133,0.23552123552123552,0.9104477611940298,0.37423312883435583,0.21153846153846154,0.929519071310116,0.3982864750608242,738,198,6,61
drop_mgmt_fingerprint,xgb_per_bssid,RogueAP_37.csv,RogueAP_39.csv,best_f1,121,1001,105,0.8398155474662782,0.44878048780487806,0.8761904761904762,0.5935483870967742,0.12611607142857142,0.9373405612244897,0.5454552190832833,783,113,13,92
drop_mgmt_fingerprint,xgb_per_bssid,RogueAP_37.csv,RogueAP_39.csv,fpr_le_0.20,121,1001,105,0.6562117338180542,0.3161094224924012,0.9904761904761905,0.4792626728110599,0.25111607142857145,0.9373405612244897,0.5454552190832833,671,225,1,104
drop_mgmt_fingerprint,rf_per_bssid,RogueAP_37.csv,RogueAP_39.csv,best_f1,121,1001,105,0.6175297015382952,0.3181818181818182,0.9333333333333333,0.4745762711864407,0.234375,0.9257865646258503,0.49888781712322927,686,210,7,98
drop_mgmt_fingerprint,rf_per_bssid,RogueAP_37.csv,RogueAP_39.csv,fpr_le_0.20,121,1001,105,0.5302332538015684,0.29941860465116277,0.9809523809523809,0.45879732739420936,0.2689732142857143,0.9257865646258503,0.49888781712322927,655,241,2,103
drop_mgmt_fingerprint,xgb_per_bssid,RogueAP_38.csv,RogueAP_39.csv,best_f1,121,1003,114,0.8548617172241211,0.6104651162790697,0.9210526315789473,0.7342657342657343,0.07536557930258718,0.9626724291042568,0.7397649136614338,822,67,9,105
drop_mgmt_fingerprint,xgb_per_bssid,RogueAP_38.csv,RogueAP_39.csv,fpr_le_0.20,121,1003,114,0.7178986072540283,0.5213270142180095,0.9649122807017544,0.676923076923077,0.11361079865016872,0.9626724291042568,0.7397649136614338,788,101,4,110
drop_mgmt_fingerprint,rf_per_bssid,RogueAP_38.csv,RogueAP_39.csv,best_f1,121,1003,114,0.7102235962262116,0.5872093023255814,0.8859649122807017,0.7062937062937062,0.0798650168728909,0.9473486866773232,0.6095247224957713,818,71,13,101
drop_mgmt_fingerprint,rf_per_bssid,RogueAP_38.csv,RogueAP_39.csv,fpr_le_0.20,121,1003,114,0.5855478820347103,0.5071090047393365,0.9385964912280702,0.6584615384615384,0.11698537682789652,0.9473486866773232,0.6095247224957713,785,104,7,107
