model,test_file,val_file,policy,test_windows,test_positive_windows,threshold,precision,recall,f1,fpr,auroc,pr_auc,tn,fp,fn,tp
xgb_per_bssid,RogueAP_34.csv,RogueAP_39.csv,best_f1,1003,91,0.7146914410591136,0.6642335766423357,1.0,0.7982456140350878,0.05043859649122807,0.988131386157702,0.8783499011319862,866,46,0,91
xgb_per_bssid,RogueAP_34.csv,RogueAP_39.csv,fpr_le_0.20,1003,91,0.8078525066375732,0.6818181818181818,0.989010989010989,0.8071748878923767,0.046052631578947366,0.988131386157702,0.8783499011319862,870,42,1,90
xgb_per_bssid,RogueAP_34.csv,RogueAP_39.csv,fpr_le_0.30,1003,91,0.8078525066375732,0.6818181818181818,0.989010989010989,0.8071748878923767,0.046052631578947366,0.988131386157702,0.8783499011319862,870,42,1,90
rf_per_bssid,RogueAP_35.csv,RogueAP_39.csv,best_f1,1003,130,0.5420769941514666,0.6470588235294118,0.9307692307692308,0.7634069400630915,0.07560137457044673,0.9637941668869503,0.7317535977866589,807,66,9,121
rf_per_bssid,RogueAP_35.csv,RogueAP_39.csv,fpr_le_0.20,1003,130,0.4947723765394223,0.6421052631578947,0.9384615384615385,0.7625,0.07789232531500573,0.9637941668869503,0.7317535977866589,805,68,8,122
rf_per_bssid,RogueAP_35.csv,RogueAP_39.csv,fpr_le_0.30,1003,130,0.4947723765394223,0.6421052631578947,0.9384615384615385,0.7625,0.07789232531500573,0.9637941668869503,0.7317535977866589,805,68,8,122
xgb_per_bssid,RogueAP_35.csv,RogueAP_39.csv,best_f1,1003,130,0.5788663363456753,0.675531914893617,0.9769230769230769,0.7987421383647799,0.06987399770904926,0.9757027050841485,0.8324513802216604,812,61,3,127
xgb_per_bssid,RogueAP_35.csv,RogueAP_39.csv,fpr_le_0.20,1003,130,0.8015404343605042,0.6871508379888268,0.9461538461538461,0.7961165048543689,0.06414662084765177,0.9757027050841485,0.8324513802216604,817,56,7,123
xgb_per_bssid,RogueAP_35.csv,RogueAP_39.csv,fpr_le_0.30,1003,130,0.8015404343605042,0.6871508379888268,0.9461538461538461,0.7961165048543689,0.06414662084765177,0.9757027050841485,0.8324513802216604,817,56,7,123
rf_per_bssid,RogueAP_36.csv,RogueAP_39.csv,best_f1,1003,67,0.5633982451735653,0.5454545454545454,0.9850746268656716,0.7021276595744681,0.05876068376068376,0.9806416634774844,0.7116203144566564,881,55,1,66
rf_per_bssid,RogueAP_36.csv,RogueAP_39.csv,fpr_le_0.20,1003,67,0.5187317873710416,0.5365853658536586,0.9850746268656716,0.6947368421052632,0.060897435897435896,0.9806416634774844,0.7116203144566564,879,57,1,66
rf_per_bssid,RogueAP_36.csv,RogueAP_39.csv,fpr_le_0.30,1003,67,0.5187317873710416,0.5365853658536586,0.9850746268656716,0.6947368421052632,0.060897435897435896,0.9806416634774844,0.7116203144566564,879,57,1,66
xgb_per_bssid,RogueAP_36.csv,RogueAP_39.csv,best_f1,1003,67,0.7121457457542437,0.5454545454545454,0.9850746268656716,0.7021276595744681,0.05876068376068376,0.9820130118637582,0.7636208038717975,881,55,1,66
xgb_per_bssid,RogueAP_36.csv,RogueAP_39.csv,fpr_le_0.20,1003,67,0.8594439625740051,0.5555555555555556,0.9701492537313433,0.7065217391304348,0.05555555555555555,0.9820130118637582,0.7636208038717975,884,52,2,65
xgb_per_bssid,RogueAP_36.csv,RogueAP_39.csv,fpr_le_0.30,1003,67,0.8594439625740051,0.5555555555555556,0.9701492537313433,0.7065217391304348,0.05555555555555555,0.9820130118637582,0.7636208038717975,884,52,2,65
rf_per_bssid,RogueAP_37.csv,RogueAP_39.csv,best_f1,1001,105,0.5035844683779291,0.5675675675675675,1.0,0.7241379310344828,0.08928571428571429,0.9732780612244898,0.7546129077298971,816,80,0,105
rf_per_bssid,RogueAP_37.csv,RogueAP_39.csv,fpr_le_0.20,1001,105,0.4515240607841521,0.5526315789473685,1.0,0.711864406779661,0.09486607142857142,0.9732780612244898,0.7546129077298971,811,85,0,105
